sample,richness,neutral,prevalence,copy_threshold,method
E25,48,13.744556877699448,p0,t0,16S
E31,81,37.0650901491913,p0,t0,16S
H19,132,47.54221121525169,p0,t0,16S
H40,62,13.567004868583897,p0,t0,16S
H45,54,9.308947200985543,p0,t0,16S
P33,84,6.865528303237844,p0,t0,16S
E44,240,43.75706726046083,p0,t0,16S
E56,43,21.893074075886098,p0,t0,16S
H06,137,14.994576998329265,p0,t0,16S
H43,59,19.313296092023215,p0,t0,16S
P05,13,3.0076260588654513,p0,t0,16S
P65,70,33.734631217565855,p0,t0,16S
P75,119,9.254975501542505,p0,t0,16S
H09,264,31.705031097551235,p0,t0,16S
H47,148,21.51369486823291,p0,t0,16S
P43,7,1.1338593718576817,p0,t0,16S
P45,104,15.459557585609682,p0,t0,16S
E18,155,15.45614796045737,p0,t0,16S
E48,643,125.8250017460532,p0,t0,16S
H34,95,17.799880714371845,p0,t0,16S
H37,28,5.786396935984279,p0,t0,16S
P09,14,4.96231267916358,p0,t0,16S
P64,152,31.98699072788733,p0,t0,16S
E58,140,9.76459550604455,p0,t0,16S
P36,432,72.77921423172707,p0,t0,16S
P58,167,25.981414828659545,p0,t0,16S
E27,173,23.533591397395625,p0,t0,16S
H08,61,5.697431498171485,p0,t0,16S
H20,131,33.973061244831506,p0,t0,16S
H23,90,15.484398324396304,p0,t0,16S
P53,25,3.925995908867025,p0,t0,16S
E34,44,18.012508958322517,p0,t0,16S
H16,52,10.829262726849002,p0,t0,16S
H25,168,10.883235513807543,p0,t0,16S
P14,31,4.784077427823776,p0,t0,16S
P34,145,23.437162592270827,p0,t0,16S
P51,71,19.959400615826528,p0,t0,16S
P60,51,12.078710417315124,p0,t0,16S
P72,21,5.663191323962815,p0,t0,16S
H32,145,17.464253045229132,p0,t0,16S
P48,226,36.403127917091354,p0,t0,16S
H07,56,19.05491699413968,p0,t0,16S
H12,131,16.969496583770756,p0,t0,16S
P01,31,4.098479418840501,p0,t0,16S
E30,294,2.5447563359146317,p0,t0,16S
H10,132,25.163598825160296,p0,t0,16S
P47,235,47.615783770869186,p0,t0,16S
P67,66,15.077173340534126,p0,t0,16S
P79,59,5.3878531349095775,p0,t0,16S
H39,96,8.493267837488402,p0,t0,16S
P25,36,12.441475938407688,p0,t0,16S
E25,48,13.744556877699448,p10,t0,16S
E31,81,37.0650901491913,p10,t0,16S
H19,68,31.786343569343874,p10,t0,16S
H40,25,7.101474000319998,p10,t0,16S
H45,20,6.487455524233519,p10,t0,16S
P33,28,3.8437134716928743,p10,t0,16S
E44,240,43.75706726046083,p10,t0,16S
E56,43,21.893074075886098,p10,t0,16S
H06,44,6.896866953428942,p10,t0,16S
H43,23,12.762661684562017,p10,t0,16S
P05,8,1.9122170369685052,p10,t0,16S
P65,60,27.976659994973538,p10,t0,16S
P75,19,3.2236541942352392,p10,t0,16S
