genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
ASV_1	0	0	0	0	0	0	0	0	0.01922349201543934	8.754012255617158e-4	0	0	1.392951664577239e-4	0	1.007759750075582e-4	0.9807213930348259	0	0	0.12623937677053823	0	0	0	0	0	0	0	0.14155732209558472	0	0	0	0	0.2708018154311649	0	0	0	0	0	0	0	0	0	0	4.4576523031203565e-4	0	0.8827178797071368	3.134304967873374e-4	0	0	7.228861228454605e-4	0	0
ASV_2	0	0	0	0	0.1087835354649026	0	0	0	0.002144352783874467	0.016049022468631456	0.005698005698005698	0	0	0	0	0	0.3826511967842134	0	0	0.2314313037934332	0.009973045822102426	0	0	0.009693761569187803	0	0.0012862547288776797	0	0	0	0.023845781131030665	0	0	0	6.575702778234424e-4	0	0	0	0	0	0.0016037357609490343	0	0	0.004160475482912333	0	0	0.14264221908791724	0.14725077121021873	0	0.4025346194682269	0.001829268292682927	0
ASV_3	0	0	0.025600608761821936	0	0.18425712472018976	0	0.18476249228871067	0	0	0	0	0	0.4228653015740354	0.21850731031465345	3.627935100272095e-4	0	0	0	0.005642115203021719	0.009005419190309213	0	0	0	0	0	0	0	0.10034003091190108	0	0	0	0	0.07227882825511904	0	0	0	0	0	0	0.07410202589561567	0	5.027652086475615e-4	0.10120221531811428	0	0	0.0013164080865068171	0.0011471267575067045	0	0	0.0014227642276422765	0.15111239526148512
ASV_4	0.27467637540453077	0.003432213777886737	0.03190564191759974	0	0	0.035034833869239015	0.0017890191239975325	0	0.0016145715078584222	0	0	0	0.0019849561220225656	1.8230211105844607e-4	0	0	0	0.16882371235137916	6.373937677053824e-4	0	0	0	0	0.5045627252947098	0	7.313997477931904e-4	0.0010854643552660984	0.0014219474497681607	0.09850840253453501	0	0	0	0.3160821005192515	2.839508017873956e-4	0	0	0.03139475038600103	0.18004473161033796	0.005723096221188523	0.08462064573948727	0	0	1.4858841010401187e-4	0	0	0	0.002278751802074129	0.04236710586097229	0	0	3.333851932522837e-4
ASV_5	0	0	0	0	0	0.00857449088960343	0	0.18199802176063304	0	0	0	0.03468780971258672	0	0.0012396543551974333	0	0.0018656716417910447	0	2.3922872658548838e-4	0	0	0	0	0.0329771576944707	0	0.0023424267541172655	1.7654476670870113e-4	0.15260351818152795	0	0	0	0	0	0	0	0	0	0	6.21272365805169e-4	0	0	0.1820676768561502	0	0	0	0	9.402914903620122e-5	0.03250709203366972	7.383007723761926e-4	0	0	0
ASV_6	0	0	0.03130775084248288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00872464827334186	1.1961436329274419e-4	0	0.0322760599298693	0	0	0	0.020702757120124704	0	0.01021437578814628	3.8310506656450533e-4	0.004698608964451314	0.007477665394151679	0.008929189451097113	0	0	0	0.006710205789607401	0.32876688145467386	0	0	0	0.30078921235561595	2.59427843682932e-4	0	0.02853192559074912	0	0	0	0.12552891396332863	0.02598087088623293	0.00779948508253824	0.015429100684482798	0	0.004422910230480297
ASV_7	0	0	0.019947820415262527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04120178514504304	0	0	0	0	0	0.16532156368221942	0	0	0.004762092172065017	0.004222329895480031	0	0	0.005584402860781816	0	0	3.7416397736307936e-4	0	0	0	0	0	0	8.10482236930974e-5	0	0	0	0.00593715605574416	0.3083257610177192	0	0	0
ASV_8	0.04409385113268608	0	0.0018480269594521143	0.005523781590653566	0	0.11270766345123258	0	0	0.014127500693761195	0.0052524073533702946	0	0	0	0.02355343274875123	0.02237226645167792	0	0	0	0	0	9.883198562443845e-4	0	0.0015196295454273508	0	0.0010450827056830876	0.014653215636822195	0	0	0.012948167971978434	0	0.20253816916833087	0	0	5.380120454919074e-4	0	0	0	0	0	0.03476333105351289	0.0839878154409117	0.020613373554550025	0.0015129001756044847	0.0010472201066260471	0	0.0019746121297602257	0.061805329488908524	4.164773587763138e-4	5.421645921340954e-4	0.04065040650406504	0.004511812948680906
ASV_9	0	0	0	0	0	0	0.0017273288093769279	0	0	0	0	0.0023125206475057814	0	0	0.055023682354126774	0	0	3.109973445611349e-4	0	0	0	0	7.179352183121344e-5	0	0	0	0.002713660888165246	0	0	0	0.0032210268633640405	0.007564296520423601	0	0	0	0	0	0	0	0	0.006676204101096805	0	0	0	0	0	3.100342587855958e-4	0	0	0	0
ASV_10	0.00337108953613808	0	0	0.20002932981375568	0	0	0.15465761875385564	0	0	0	0	0	1.7411895807215488e-4	0.022459620082400555	0	0	0	0	0.00996222851746931	0.0011954096270321963	0	0	0	0	0	0.0015636822194199243	0	0.011561051004636785	1.9678066826714943e-4	0	0.021387618372737227	0	0.23821886940335063	0	0	0	5.881920447025954e-4	0	0	0.09230914365227236	0	0	0.12923139267864378	0	0	7.208901426108761e-4	0	0	0	0.00548780487804878	0
ASV_11	0.013888888888888888	0	0.01016414827698663	0	0	0.06383976420150053	0	0	0	0	0	0	0	0	0.0014713292351103498	0	0	0	0	0	0	0.4416826003824092	7.53831979227741e-4	0	0.002234314750081084	0.0039848675914249685	0	0	0	0	0.039683050956644976	0	0	0.24403329696770434	6.531909259422721e-4	0.013844067162433936	0	0	0.0024042230700883293	0.04039999056626023	0.002121592556908314	0	0	0.0019992383853769994	0	0	0	0.06716643949719825	6.325253574897779e-4	0	0.035383281843842374
ASV_12	0	0	0.037069246657245356	0.0024930341692330255	0.0032407871437639905	0	0	0	0.03574762229117788	0.053691275167785234	0	0	0	0.05195610165165713	0	0	0.016124611730312443	0	0	0.2248167038571884	0.01761006289308176	0	0	0	0	0	0	0.007047913446676971	0.03392498720925656	0.01377448605246764	0	0	3.1840893504457725e-4	0.002690060227459537	0	0	0	0	0	0.1003042381075918	0	0.12405731523378583	0.0013778198027826556	0	0	0.0128193073186021	0.05042707219147716	0	0	0.3017276422764228	0
ASV_13	0.10666127292340885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.207466935745433e-5	0	0	0	0	0	0.516395026734523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0.004076530057614958	0	0.03728575724165581	0	0	0	0.0015136607886172709	0	0	0	0	0	0	0	0.14142152384432669	0	0	0.04622250557857826	0.44833782569631625	0	0	0.001932257331211639	0	0.001210592686002522	0	0	7.084104057617379e-4	0.1193327334394684	0	0	0	0	0	0	0.0013969561061686641	0	0	0.001014127025306007	0	0	0.006416317709036877	0	0	0.006989500078357624	0.04351330822055837	0	0.1854880610838774	0.004573170731707317	0
ASV_15	0	0.007354743809757294	0.039515164691814327	0	0	3.014469453376206e-4	3.701418877236274e-4	0	0	0	0.6999050332383666	0	0	0	0	0	0	0	9.442870632672332e-5	0	0	0.0076481835564053535	0	0.01536063391030429	0	3.278688524590164e-4	6.704338664878843e-4	0	0.025424062340115707	0.0338132484252786	0	0	0	0.002450943762796467	0	0.0010289509377484683	0.0016175281229321374	0	0	0	0	0.09338863750628457	0	0	4.5617316333280114e-5	0.031531107976806146	4.495496752391139e-4	0	0.23362775882711725	0	0
ASV_16	0	0	0	0	0	0	0	0.005934718100890208	0	0	0	0.06706309877766765	0	0.0020417836438545956	0	0	0	0.001459295232171479	4.1312559017941453e-4	0	0	0	0.045098297296973906	0	0	0	0.02190083963860422	0	0	0	0	0	0	0	0	0	0	0.0017395626242544733	0	0	0.00743530602512822	0	0	0	0	0	0.013470988544234138	0	0	0	0
ASV_17	0	0	0.018697684530927274	0.004203939971647847	0	0	0	0	8.32513433739499e-4	0	0	0	0	0	0	0	0	0	0	0.006136436085431941	0.002336028751123091	0	0	0	0	0	0	0	0.004683379904758157	0	0	0	0	3.736194760360468e-4	7.061523523700238e-5	0	0	0	0	0	0	0.03494218200100553	0.0024584627853572877	0	0	0.003635793762733114	0	0	0	0.39034552845528453	0
ASV_18	0	0.004658004412846286	0	0.009629955516449138	0.004343322976178544	0	0	0	0	0.04610446454625036	0	0	0.0011491851232762224	0	0	0	0.03170107801936781	0	0	0	0	0	0	0	0	0	0	0.002472952086553323	0.0028729977567003816	0	0	0	0	0	0	0.00579954164912773	0	0	0	0	0	0	0	0	0	0	0.003022834023159559	0	0	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0.022794846382556987	0	0	0.056797339514259804	0	0	0	0	0	0	0	0.10366984552427219	0	0	0	0.027838968170354052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006238260683386373	0	0	0	0	0	0.0029143220325846004	0	0	0	0
ASV_20	0.16248651564185546	0	0	0	0	0	0.001110425663170882	0	0.002169580463684755	0	0	0	0.001497423039420532	0	0	0	0	0.04306117078538791	3.7771482530689327e-4	0	0	0	0	0.13014321436690157	0	5.548549810844893e-4	0.0015643456884717301	0.00544049459041731	0	0	0	0	0.008425590281179583	0	0	0	0.05602529225792221	0.05106858846918489	0.004207390372654576	0	0	0	0	0	0	0	0.0012711404610209428	5.868544600938967e-4	3.6144306142273027e-4	0	0.00108905829795746
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1530585392693955e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12619502868068833	0	0	7.928213629319976e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006076671472197678	0.04265106769650159	0	0	0
ASV_24	0	0	0	0	0.08760148341184724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6167542503863988	0	0	0	0	0	0	0	0	0	0	0	0.015707176717530247	0	0	0	0	0	0	0.005999162907501279	0	0	0	0
