Genome	E01	E02	E03	E16	E18	E21	E24	E25	E27	E28	E30	E31	E34	E38	E43	E44	E45	E48	E56	E58	H04	H06	H07	H08	H09	H10	H12	H15	H16	H19	H20	H23	H25	H30	H31	H32	H34	H37	H39	H40	H43	H45	H47	P01	P05	P09	P14	P20	P25	P28	P33	P34	P36	P41	P43	P45	P47	P48	P49	P51	P53	P56	P58	P60	P64	P65	P67	P69	P72	P75	P78	P79
unmapped	44.850414	97.63133	99.85323	7.8638077	98.07233	91.88863	91.868744	88.69036	83.512695	96.51937	48.62277	25.715382	83.71285	98.88803	99.190895	67.28901	74.67821	59.48996	43.071674	93.07659	99.751724	99.120224	99.49375	64.79245	97.94129	97.404465	86.74726	98.9828	74.3925	99.16763	98.18062	84.91986	84.93025	30.76815	91.24334	95.965454	99.53454	97.541595	97.51483	93.72565	98.78533	84.725075	88.586876	67.09161	67.603035	93.75996	28.115177	65.16242	60.758705	91.21176	95.28219	99.29125	48.385925	74.18697	42.762173	98.16453	60.65607	76.24694	70.28553	60.19274	95.06879	25.108587	94.33573	97.83119	73.6067	37.19277	31.98744	89.20384	74.99155	81.009766	76.311676	84.675125
EH_bin.11	0	2.24395E-05	0.000101654	0.000100326	3.32163E-05	8.26924E-05	0.003117499	0.00073539	0.001377737	0.039932687	0.002429714	0.000582299	0.02809105	0.000269291	0	0.118287586	0.0037256	0.4021547	0.000977273	0.00019272	1.65264E-05	4.49511E-05	3.41074E-05	0	2.48534E-05	7.28745E-06	9.32386E-05	0	4.32231E-05	0.000106116	0.000145796	2.43751E-05	7.33957E-05	0.00029685	2.34174E-05	0	0.00012346	2.87877E-06	1.8247E-05	7.37182E-05	0.000152239	0	7.38346E-05	3.175E-05	0	5.99462E-05	0.000214043	0	8.18043E-05	0.000643495	2.56947E-05	0	0.00127355	0.00017998	0.000167365	9.02762E-05	0.00038795	9.4555E-05	0.00020486	0.000317686	4.88894E-06	4.09907E-05	1.43556E-05	3.62514E-05	0.000197825	0.000377692	6.91598E-05	8.4877E-05	0.000226561	0.000170305	5.28788E-05	5.96152E-05
EH_bin.12	7.70781E-05	2.20746E-05	0	8.71871E-05	0.00012468	4.19406E-05	0.003479114	8.27554E-05	0.000240135	0.001058942	0.000202333	0.000637267	0.005826715	8.55793E-05	0	0.12978354	0.000259704	0.85014224	0.000378644	0.000521027	7.98576E-05	1.94582E-05	2.29726E-05	9.1567E-05	9.53246E-06	1.12033E-05	0.0001765	0	0.000182654	0.000144843	1.67329E-05	0	0.000157749	0.000103174	5.70802E-05	4.50472E-05	0.000155637	2.54105E-05	5.91106E-05	0.000251423	0.000242941	0.000234715	4.99617E-05	0.000100953	5.92859E-05	2.96876E-05	0.000422993	0	0.000204132	5.11093E-05	6.95607E-05	4.75235E-05	5.94365E-05	0.00024025	0.000962626	0.000215747	0.00060736	7.88239E-05	0.000399869	0.000848271	3.69146E-06	0.000198855	1.71715E-05	7.72438E-05	2.56232E-05	0.000353198	0.000225802	0.000310104	0	0.000607394	0.000147378	0.000213444
EH_bin.13	1.10346E-05	2.69876E-05	3.57104E-05	0.000487749	1.03075E-05	0.000129346	0.005122163	0.000738492	0.008697199	0.000259692	0.03076982	0.000849629	0.199584	3.39955E-05	0	0.1419238	0.000263304	0.005034202	0.000160567	0	1.83327E-06	2.67974E-06	0.000122616	5.10503E-05	0.000138654	2.97563E-06	1.39151E-05	3.70389E-05	0.000105884	0.000198254	0.000571458	0.000156732	0.000142562	0	1.4109E-05	1.57718E-05	1.67322E-05	3.04078E-06	0	1.16634E-05	3.60034E-05	0	0.000492828	3.49938E-05	3.21145E-05	0	6.78041E-06	6.10577E-06	2.03772E-05	0.000556045	0.000116045	0	0.000321263	3.67256E-05	0.00119466	1.01483E-05	6.89014E-05	2.60426E-05	7.0852E-05	8.18833E-05	1.02114E-05	9.4453E-05	1.93668E-05	0	1.27983E-05	0.000161979	0.000353388	0.000144359	8.88066E-05	2.22728E-05	0.000119148	4.80084E-06
EH_bin.15	2.85639E-05	0	4.83709E-06	0.000187652	8.90099E-05	2.75621E-05	0.000326004	8.97157E-05	0.000570809	0.000629229	0.000526098	0.00010975	0.002379808	0.000105672	0.000122378	0.003519816	0.003151483	0.7796542	5.0147E-05	0.000239613	5.31992E-05	3.59323E-06	8.95758E-05	3.44474E-06	3.61274E-05	1.275E-06	0.00012371	0.000179149	2.43971E-05	0.000137131	5.67181E-05	2.71119E-05	9.85501E-05	9.24813E-05	6.63762E-05	0.000441632	0.000260468	2.58232E-06	0.000206853	0.000122586	0.000290852	1.8087E-05	0.000171299	0.000239696	0.000322555	0.000498128	0.000963425	2.48539E-06	0	6.31896E-05	1.38774E-05	4.44494E-05	0.000111556	0.000337817	0.000380003	0.000180627	0.000439563	4.49143E-05	0.011730654	0.00054126	0	6.72463E-05	2.5397E-05	3.12516E-05	0.000113774	0.000268706	0.19905865	0.000175057	0.00023106	0.000257793	3.42007E-05	9.56948E-05
EH_bin.17	1.31412E-05	2.38631E-05	2.46999E-05	2.79286E-05	3.75171E-05	1.3783E-05	4.28925E-05	0.057749383	3.10472E-05	0.024854463	2.76617E-05	0.00048687	0.05202854	0.000105391	0	0	0.07465046	0.35255107	1.88769E-05	0.000133807	3.91971E-05	0	0.000211584	0	0.000102608	1.82275E-05	5.3488E-05	0	0.000114661	0.000110461	0.000352627	0.000303124	0.000134554	5.48665E-05	2.7778E-05	0	6.4714E-05	0	0	4.95213E-05	9.14318E-05	0	0.000357319	0.000108396	0	0	0.000113327	2.22253E-05	3.50202E-05	0.04638577	6.92563E-05	0	0.000208726	6.84165E-05	1.97168E-05	0.000104796	0.000199265	0	6.28281E-05	0.0002937	1.53237E-05	0	3.85662E-05	1.16097E-05	0	0.000159735	0.000376879	8.92771E-05	0.000131287	8.92296E-05	0	3.38163E-05
EH_bin.18	2.04658E-05	2.24939E-05	2.30978E-05	0.000166722	0.000163326	0.001907653	0.00218398	0.000257168	0.002244657	0.001488512	0.011723724	0.002049826	0.24017353	0.000177851	0	0.050951555	0.011640779	1.7357883	0.009894853	0.000627716	0.000115757	0	0.000122141	2.08424E-05	0.000108512	2.328E-05	0.000276999	0	0.000165129	0.000702169	0.00088882	0.00029174	0.003541505	0.000174575	0.00013104	0	0.000327367	4.54864E-05	0	0.000447227	0.000558426	3.94802E-05	0.000456467	0.000493888	0	5.89434E-05	0.000670924	3.05063E-05	0	0.000138328	0.000121884	1.73365E-05	0.001141793	0.001746821	0.00013062	0.0002982	0.001529732	0.000361281	0	0.001348993	0	1.96178E-05	6.85072E-05	7.18763E-05	0.00033936	0.003079783	0.000373395	0.00044398	0.000376156	0.001627793	0.000108779	0.001843617
EH_bin.19	0.000114367	3.41113E-05	1.08121E-05	0.000131563	0.000412329	0.00058009	0.000161846	0.001751425	0.00043696	0.28856912	0.010466761	0.000654399	0.014185341	0.055574633	3.01883E-05	0.000554942	0.002079549	1.1904825	0.000719612	0.000889098	0.00010995	1.68835E-05	3.79951E-05	0	2.70185E-05	3.63607E-05	0.000202898	0.000101745	0.000221644	0.000218172	0.000165611	0.000119148	0.000307505	9.82708E-05	0.000134489	9.39314E-05	0.000314322	3.46379E-05	4.03474E-05	0.000249128	0.000219521	2.50799E-05	0.00031754	0.00023131	0.000561412	0.000548179	0.000819623	1.5644E-05	0.001198508	0.001394584	0.000120676	6.05515E-05	0.000280346	0.000725807	0.000178376	0.000294911	0.001574216	0.000921661	0.000500475	0.001569778	0.002040647	0.000487025	3.55123E-05	9.05195E-05	0.001140239	0.002147085	0.000746986	0.000662304	0.001067931	0.000523906	8.21132E-05	0.000292995
EH_bin.1	0.000267665	0.04116904	0.000463791	1.9509E-05	0.000326797	0.000409682	0.00033283	0.001957967	0.000152247	9.31553E-05	0.000169488	0.000235179	0.001460432	0.001236188	0.06995099	3.4931912	0.16626857	0.16325828	9.19122E-05	0.000670965	0.000766874	0.000232217	0.002567908	0.019401409	0.01859017	0.000401485	0.18711159	0.002093133	3.59736	0.000230061	0.007730809	0.002075165	0.000959675	0.000106044	0.00018492	0.7013235	0.000373792	0.000126693	0.00190894	0.89516544	0.001490811	0.021016086	0.010782698	6.13977E-05	0.004393168	0.004847166	9.95304E-05	7.58435E-05	0.09713617	0.001283629	0.001665087	0.000766359	0.002997067	0.052920572	0.000295022	5.27193E-05	0.000503816	0.000287233	4.4694185	0.024133056	0.010399791	0.002330179	0.014515891	0.000236671	0.001390545	3.27386E-05	0.005420905	0.000684424	0.000606011	0.12899949	0.00015668	0.000731314
EH_bin.20	0.002696313	0.07656844	0.001213366	0.000736368	0.001929376	0.003886546	0.001600802	0.014039897	0.006929634	0.001985963	0.000705828	0.00067124	0.004794644	0.000451539	0.012723018	22.349651	0.006694571	0.12239339	0.001599507	0.025546815	0.018040264	0.000812486	0.009181331	0.46564695	0.5078346	0.00193049	0.55392903	0.018950688	8.190394	0.002389855	0.021515213	0.006875942	0.007077343	0.001048697	0.001412165	0.7993176	0.00286129	0.002468724	0.010989496	0.004911484	0.009735867	2.6752095	0.04191918	0.000887313	0.04545701	0.049673036	0.018205523	0.000476526	16.888922	0.007687359	0.003804078	0.00472754	0.007010743	0.04153798	0.001349046	0.001640165	0.007498015	0.002908364	1.0813637	0.02015586	0.001793981	0.23451024	0.001383124	0.01958917	0.009605519	0.002637404	0.05044998	0.007086997	0.037540413	13.239785	0.003428249	0.009797559
