sample,bacterial_archaeal_bases,metagenome_size,read_fraction,warning
E01_M_1,109454754,2338466897,4.68,NA
E16_M_1,4160751680,5140140464,80.95,NA
E18_M_1,786748609,24588512821,3.2,NA
E24_M_1,2079018996,26153772436,7.95,NA
E25_M_1,2257816834,6860939342,32.91,NA
E27_M_1,422067858,2392292426,17.64,NA
E28_M_1,690997033,4674800315,14.78,NA
E30_M_1,4083465703,9138660269,44.68,NA
E31_M_1,1846007752,3353339803,55.05,NA
E34_M_1,3310303432,14217210191,23.28,NA
E44_M_1,234728253,691432347,33.95,NA
E45_M_1,661892514,2800055324,23.64,NA
E48_M_1,7436691832,13346089194,55.72,NA
E56_M_1,1356449701,2921087217,46.44,NA
E58_M_1,465405864,1482652823,31.39,NA
H04_M_1,71357619,13179078282,0.54,NA
H06_M_1,21080346,1480887116,1.42,NA
H07_M_1,28150631,3410873324,0.83,NA
H08_M_1,140756116,1029263326,13.68,NA
H09_M_1,252698853,7163853427,3.53,NA
H10_M_1,109989169,4154283127,2.65,NA
H12_M_1,595401454,5352748815,11.12,NA
H15_M_1,11828264,750115389,1.58,NA
H16_M_1,5712785867,13259460408,43.08,NA
H19_M_1,61812863,2526011093,2.45,NA
H20_M_1,102546013,3858623879,2.66,NA
H23_M_1,105492575,1596535941,6.61,NA
H25_M_1,761461072,4106784589,18.54,NA
H30_M_1,1621253069,3050465626,53.15,NA
H31_M_1,113446029,4916643192,2.31,NA
H32_M_1,57099859,1452653651,3.93,NA
H34_M_1,29192937,5153692261,0.57,NA
H37_M_1,344313180,9409222307,3.66,NA
H39_M_1,16115725,776988933,2.07,NA
H40_M_1,449269715,6265194691,7.17,NA
H43_M_1,34108100,2536443090,1.34,NA
H45_M_1,656285661,4764584389,13.77,NA
H47_M_1,344380536,2481891276,13.88,NA
P01_M_1,263364763,2095995394,12.57,NA
P05_M_1,307115801,1002474184,30.64,NA
P14_M_1,270609139,681060442,39.73,NA
P20_M_1,36271251,1224401999,2.96,NA
P25_M_1,559013473,893303454,62.58,NA
P28_M_1,4034137714,19006952230,21.22,NA
P33_M_1,443347014,8300436170,5.34,NA
P41_M_1,1263560355,4922338032,25.67,NA
P43_M_1,9291697370,21096519152,44.04,NA
P47_M_1,791659163,1866923826,42.4,NA
P48_M_1,4529360599,23980224025,18.89,NA
P51_M_1,3433117513,6114922024,56.14,NA
P53_M_1,105149320,2273102390,4.63,NA
P56_M_1,872296091,1210718035,72.05,NA
P58_M_1,123909027,1191021457,10.4,NA
P60_M_1,141958626,8780091436,1.62,NA
P64_M_1,420232961,1648433098,25.49,NA
P65_M_1,1229580387,2805124821,43.83,NA
P67_M_1,1598298234,2650094303,60.31,NA
P69_M_1,292055558,2001177140,14.59,NA
P75_M_1,3499947325,7890731855,44.36,NA
P79_M_1,1611343851,9263825395,17.39,NA
