Genome	P56 Read Count	P56 Covered Fraction	P56 Length	E03 Read Count	E03 Covered Fraction	E03 Length	E34 Read Count	E34 Covered Fraction	E34 Length	P20 Read Count	P20 Covered Fraction	P20 Length	H12 Read Count	H12 Covered Fraction	H12 Length	H37 Read Count	H37 Covered Fraction	H37 Length	E31 Read Count	E31 Covered Fraction	E31 Length	H34 Read Count	H34 Covered Fraction	H34 Length	P64 Read Count	P64 Covered Fraction	P64 Length	E56 Read Count	E56 Covered Fraction	E56 Length	H25 Read Count	H25 Covered Fraction	H25 Length	P36 Read Count	P36 Covered Fraction	P36 Length	P53 Read Count	P53 Covered Fraction	P53 Length	H20 Read Count	H20 Covered Fraction	H20 Length	P58 Read Count	P58 Covered Fraction	P58 Length	H30 Read Count	H30 Covered Fraction	H30 Length	H39 Read Count	H39 Covered Fraction	H39 Length	H43 Read Count	H43 Covered Fraction	H43 Length	H15 Read Count	H15 Covered Fraction	H15 Length	H07 Read Count	H07 Covered Fraction	H07 Length	H16 Read Count	H16 Covered Fraction	H16 Length	H08 Read Count	H08 Covered Fraction	H08 Length	E18 Read Count	E18 Covered Fraction	E18 Length	E24 Read Count	E24 Covered Fraction	E24 Length	E02 Read Count	E02 Covered Fraction	E02 Length	P72 Read Count	P72 Covered Fraction	P72 Length	P60 Read Count	P60 Covered Fraction	P60 Length	E16 Read Count	E16 Covered Fraction	E16 Length	P41 Read Count	P41 Covered Fraction	P41 Length	H06 Read Count	H06 Covered Fraction	H06 Length	H23 Read Count	H23 Covered Fraction	H23 Length	H04 Read Count	H04 Covered Fraction	H04 Length	P51 Read Count	P51 Covered Fraction	P51 Length	E28 Read Count	E28 Covered Fraction	E28 Length	E27 Read Count	E27 Covered Fraction	E27 Length	P49 Read Count	P49 Covered Fraction	P49 Length	P33 Read Count	P33 Covered Fraction	P33 Length	P75 Read Count	P75 Covered Fraction	P75 Length	P43 Read Count	P43 Covered Fraction	P43 Length	H40 Read Count	H40 Covered Fraction	H40 Length	H19 Read Count	H19 Covered Fraction	H19 Length	E45 Read Count	E45 Covered Fraction	E45 Length	E25 Read Count	E25 Covered Fraction	E25 Length	P09 Read Count	P09 Covered Fraction	P09 Length	E38 Read Count	E38 Covered Fraction	E38 Length	E58 Read Count	E58 Covered Fraction	E58 Length	P79 Read Count	P79 Covered Fraction	P79 Length	P67 Read Count	P67 Covered Fraction	P67 Length	P65 Read Count	P65 Covered Fraction	P65 Length	P28 Read Count	P28 Covered Fraction	P28 Length	E43 Read Count	E43 Covered Fraction	E43 Length	H47 Read Count	H47 Covered Fraction	H47 Length	E01 Read Count	E01 Covered Fraction	E01 Length	H31 Read Count	H31 Covered Fraction	H31 Length	P47 Read Count	P47 Covered Fraction	P47 Length	P48 Read Count	P48 Covered Fraction	P48 Length	P01 Read Count	P01 Covered Fraction	P01 Length	P78 Read Count	P78 Covered Fraction	P78 Length	P14 Read Count	P14 Covered Fraction	P14 Length	E21 Read Count	E21 Covered Fraction	E21 Length	H10 Read Count	H10 Covered Fraction	H10 Length	P25 Read Count	P25 Covered Fraction	P25 Length	H09 Read Count	H09 Covered Fraction	H09 Length	E30 Read Count	E30 Covered Fraction	E30 Length	P69 Read Count	P69 Covered Fraction	P69 Length	H45 Read Count	H45 Covered Fraction	H45 Length	E48 Read Count	E48 Covered Fraction	E48 Length	E44 Read Count	E44 Covered Fraction	E44 Length	P05 Read Count	P05 Covered Fraction	P05 Length	P34 Read Count	P34 Covered Fraction	P34 Length	P45 Read Count	P45 Covered Fraction	P45 Length	H32 Read Count	H32 Covered Fraction	H32 Length
EH_bin.11	6	0.00009576226	2140718	37	0.00033119728	2140718	24348	0.4610995	2140718	0	0	2140718	87	0.0015606913	2140718	2	0.000048114696	2140718	259	0.000867466	2140718	60	0.0015298605	2140718	13	0.0005082407	2140718	122	0.0025211168	2140718	23	0.0005731722	2140718	148	0.0026710664	2140718	6	0.00008455107	2140718	16	0.0002989651	2140718	2	0.0000920252	2140718	108	0.0018092061	2140718	2	0.000028962246	2140718	32	0.000899231	2140718	0	0	2140718	11	0.00020880844	2140718	39	0.00059279177	2140718	0	0	2140718	89	0.00216703	2140718	4008	0.057097197	2140718	2	0.000045779034	2140718	10	0.00026393015	2140718	30	0.0007492813	2140718	68	0.00095388555	2140718	49	0.001306571	2140718	6	0.00017330634	2140718	2	0.000041574836	2140718	11	0.00036436375	2140718	138	0.0029817098	2140718	8316	0.09634805	2140718	210	0.0033367309	2140718	9	0.00014107417	2140718	36	0.0009277261	2140718	96	0.0018498467	2140718	368	0.009142727	2140718	38	0.0007899219	2140718	20	0.00073153025	2140718	402	0.007140128	2140718	384	0.0011052367	2140718	3	0.00010837485	2140718	23	0.00013686996	2140718	20	0.00031344625	2140718	30	0.0007067722	2140718	15	0.00028121407	2140718	41	0.0012407053	2140718	1110	0.001713911	2140718	0	0	2140718	11	0.0002195525	2140718	0	0	2140718	34	0.00087821	2140718	39	0.0009683667	2140718	97	0.0014738046	2140718	8	0.00008268254	2140718	3	0.000099499324	2140718	15	0.00034707983	2140718	9	0.00016256228	2140718	4	0.00006306295	2140718	7	0.00015882522	2140718	17	0.00039099032	2140718	2690	0.010890738	2140718	22	0.0004937596	2140718	10	0.000029896511	2140718	299205	0.98956287	2140718	3588	0.12189508	2140718	0	0	2140718	0	0	2140718	46	0.00097210373	2140718	0	0	2140718
EH_bin.12	12	0.00012646255	1549866	0	0	1549866	3634	0.069396324	1549866	0	0	1549866	114	0.0036693495	1549866	12	0.000098073	1549866	147	0.008932385	1549866	56	0.0016975661	1549866	2	0.000049681716	1549866	33	0.00024131118	1549866	32	0.0010175073	1549866	7	0.00015743297	1549866	1	0.00009678256	1549866	1	0.00009678256	1549866	2	0.000086459084	1549866	32	0.0011639716	1549866	2	0.0001096869	1549866	42	0.0012955959	1549866	0	0	1549866	4	0.00013420515	1549866	108	0.0006968344	1549866	10	0.00009162082	1549866	240	0.007599367	1549866	2879	0.1162294	1549866	2	0.00004645563	1549866	0	0	1549866	44	0.00085233175	1549866	45	0.0016240113	1549866	52	0.0016362704	1549866	2	0.00007613561	1549866	0	0	1549866	35	0.0011736498	1549866	258	0.00707416	1549866	180	0.004955267	1549866	33	0.0006852205	1549866	10	0.0003735807	1549866	53	0.00030325202	1549866	181	0.0044107037	1549866	1457	0.05719527	1549866	88	0.0022543885	1549866	25	0.0008574935	1549866	21	0.00037745197	1549866	36	0.0004497163	1549866	1	0.00009162082	1549866	3	0.0002606677	1549866	32	0.0007968431	1549866	74	0.0015381975	1549866	35	0.0002574416	1549866	35	0.00087168824	1549866	76	0.0005284328	1549866	0	0	1549866	4	0.000181306	1549866	12	0.00008903995	1549866	60	0.0018569347	1549866	48	0.0015291645	1549866	60	0.00035486938	1549866	14	0.0006387649	1549866	10	0.00006129562	1549866	23	0.00067038054	1549866	2	0.00012130081	1549866	4	0.000098073	1549866	9	0.00015033557	1549866	6	0.0001438834	1549866	139	0.0032828643	1549866	50	0.0012639803	1549866	69	0.0002832503	1549866	465289	0.9995535	1549866	2850	0.10908427	1549866	2	0.000181306	1549866	6	0.00023227815	1549866	65	0.0023692371	1549866	4	0.00007226431	1549866
EH_bin.13	8	0.00013941737	2962328	27	0.00046584982	2962328	229728	0.9919536	2962328	2	0.00002025434	2962328	18	0.00026398158	2962328	2	0.00007899193	2962328	393	0.011233057	2962328	11	0.00017249947	2962328	2	0.000023967636	2962328	34	0.00028626135	2962328	55	0.00087802566	2962328	70	0.0012635333	2962328	6	0.000086080945	2962328	106	0.0017192559	2962328	6	0.00009418268	2962328	0	0	2962328	0	0	2962328	12	0.00023528792	2962328	2	0.00006447632	2962328	45	0.0007922823	2962328	121	0.0021874688	2962328	8	0.00022921163	2962328	34	0.0005063585	2962328	8053	0.16131671	2962328	3	0.00007089019	2962328	4	0.00007797921	2962328	0	0	2962328	307	0.010750666	2962328	14	0.00013739194	2962328	2	0.000029031222	2962328	16	0.0003210313	2962328	2	0.000026330643	2962328	44	0.0008192881	2962328	75	0.0017455866	2962328	1677	0.02718065	2962328	4	0.00005907516	2962328	237	0.0036410552	2962328	14	0.0002281989	2962328	3275	0.073229566	2962328	9	0.00018498964	2962328	44	0.0014066639	2962328	57	0.00057049724	2962328	446	0.00871443	2962328	0	0	2962328	3	0.00008101736	2962328	0	0	2962328	2	0.000101271704	2962328	98	0.00152819	2962328	23	0.00036964173	2962328	1030	0.018481748	2962328	0	0	2962328	88	0.0014178038	2962328	2	0.00003747053	2962328	24	0.00041690184	2962328	8	0.000088781526	2962328	42	0.00014110524	2962328	10	0.00022752376	2962328	11	0.00021975959	2962328	1	0.000040846255	2962328	14	0.0002967261	2962328	2	0.000025655498	2962328	2	0.000022954919	2962328	131	0.002086197	2962328	35306	0.49847755	2962328	34	0.0011342431	2962328	0	0	2962328	5248	0.034914095	2962328	5725	0.16256303	2962328	2	0.000050635852	2962328	0	0	2962328	5	0.00012051332	2962328	2	0.00003578267	2962328
EH_bin.15	9	0.00013303291	5983482	6	0.00009710065	5983482	5734	0.040149532	5983482	1	0.00001704693	5983482	318	0.0026359234	5983482	4	0.00002222786	5983482	102	0.0015322182	5983482	310	0.0026095174	5983482	21	0.000259715	5983482	18	0.00008088935	5983482	78	0.00067970454	5983482	39	0.00030467208	5983482	0	0	5983482	20	0.00016378424	5983482	14	0.00015308811	5983482	119	0.00092655077	5983482	30	0.00047631128	5983482	170	0.0016164501	5983482	22	0.00031937927	5983482	60	0.00052979187	5983482	53	0.0004886787	5983482	2	0.000011197493	5983482	684	0.0056194705	5983482	1056	0.007311796	5983482	0	0	5983482	32	0.0002672357	5983482	78	0.0007137984	5983482	281	0.004259727	5983482	250	0.002042122	5983482	2	0.000014038648	5983482	6	0.00004763113	5983482	97	0.0008373051	5983482	631	0.0051115723	5983482	401	0.0033739551	5983482	247	0.0019981677	5983482	914	0.006544517	5983482	55	0.00047681265	5983482	330	0.0027936911	5983482	2306	0.01326786	5983482	192	0.0015053108	5983482	96	0.0007218205	5983482	930	0.005271178	5983482	119	0.0010861568	5983482	72	0.00091618893	5983482	18	0.00012718346	5983482	53	0.0004863389	5983482	133	0.0011035381	5983482	68583	0.2679719	5983482	97	0.0008541849	5983482	248	0.002237326	5983482	18	0.0002341446	5983482	45	0.0005790942	5983482	8	0.00009726778	5983482	262	0.0020905887	5983482	133	0.0010452108	5983482	129	0.0007966933	5983482	127	0.0008998105	5983482	6	0.00004963665	5983482	148	0.0014705485	5983482	7	0.000070026115	5983482	1	0.00002272924	5983482	0	0	5983482	58	0.0005174245	5983482	1331	0.008695272	5983482	127	0.0011264344	5983482	19	0.0002652302	5983482	1635120	0.99938214	5983482	298	0.003958899	5983482	57	0.0006207088	5983482	21	0.00026807134	5983482	236	0.0018778363	5983482	100	0.0012628098	5983482
EH_bin.17	0	0	1510065	10	0.00034832937	1510065	31009	0.7600249	1510065	2	0.00007549344	1510065	34	0.0012350462	1510065	0	0	1510065	112	0.006668587	1510065	74	0.0008211567	1510065	0	0	1510065	2	0.00006489787	1510065	79	0.0009582369	1510065	22	0.0007880455	1510065	4	0.00019866694	1510065	31	0.001068166	1510065	6	0.00019204471	1510065	127	0.0005913653	1510065	0	0	1510065	14	0.00051388517	1510065	0	0	1510065	39	0.0013655041	1510065	70	0.0021045452	1510065	0	0	1510065	83	0.0022641409	1510065	34	0.0011635261	1510065	2	0.000049666734	1510065	31	0.00021389808	1510065	87	0.00037283162	1510065	68	0.00048209846	1510065	119	0.0005059385	1510065	0	0	1510065	17	0.000554943	1510065	110	0.00053044077	1510065	92	0.0026846526	1510065	3592	0.108933724	1510065	45	0.00018343581	1510065	2	0.000053640077	1510065	70	0.0023522165	1510065	137	0.000943668	1510065	44	0.0013482863	1510065	21	0.00070791657	1510065	74	0.0006549387	1510065	5453	0.1302136	1510065	16736	0.49316686	1510065	1	0.000047017842	1510065	4	0.00027614707	1510065	35	0.0003092582	1510065	122	0.0004900451	1510065	51	0.001546291	1510065	85	0.0005211696	1510065	41117	0.7950724	1510065	0	0	1510065	29	0.0011165083	1510065	2	0.000045693396	1510065	30	0.0010171748	1510065	108	0.00055229414	1510065	0	0	1510065	20	0.0005344141	1510065	0	0	1510065	50	0.0002145603	1510065	1	0.0000629112	1510065	4	0.0002602537	1510065	2	0.00004039561	1510065	54	0.0016933046	1510065	24	0.0007695033	1510065	19	0.0005231563	1510065	0	0	1510065	212258	0.99506116	1510065	0	0	1510065	10	0.000047017842	1510065	0	0	1510065	229	0.0011562416	1510065	2	0.000047017842	1510065
EH_bin.18	2	0.000029969324	3169908	21	0.00029022925	3169908	301228	0.9684388	3169908	6	0.0001047349	3169908	368	0.005606472	3169908	48	0.0005410252	3169908	1055	0.02734748	3169908	232	0.003859418	3169908	39	0.0003056871	3169908	1642	0.0065361517	3169908	1126	0.002556541	3169908	228	0.00207577	3169908	0	0	3169908	152	0.0020991145	3169908	19	0.00037603616	3169908	116	0.0019133048	3169908	0	0	3169908	181	0.0029205894	3169908	0	0	3169908	52	0.0009101211	3169908	212	0.0030745373	3169908	4	0.00010599677	3169908	630	0.010478853	3169908	3718	0.007819786	3169908	2	0.000066878914	3169908	30	0.00041105293	3169908	104	0.0017069896	3169908	185	0.0030590794	3169908	608	0.005022543	3169908	0	0	3169908	35	0.0005410252	3169908	113	0.0020722998	3169908	817	0.011571945	3169908	508	0.006628899	3169908	513	0.0046673277	3169908	0	0	3169908	258	0.0040259846	3169908	927	0.0072412197	3169908	620	0.0075730905	3169908	327	0.0033013576	3169908	216	0.0046067582	3169908	1806	0.016179334	3169908	213	0.00381336	3169908	5	0.000109151435	3169908	20	0.0002697239	3169908	78	0.0012662828	3169908	1034	0.0026735791	3169908	101	0.0015656606	3169908	484	0.003478019	3169908	349	0.0061080637	3169908	0	0	3169908	84	0.0011438818	3169908	5	0.00009558637	3169908	258	0.004161004	3169908	249	0.002906709	3169908	631	0.0005457572	3169908	135	0.0019934333	3169908	7	0.00018549434	3169908	64	0.0012650209	3169908	218	0.004010842	3169908	13	0.00015899516	3169908	0	0	3169908	112	0.0018650383	3169908	14942	0.23362318	3169908	155	0.0027609635	3169908	21	0.00016183435	3169908	1927177	0.9937727	3169908	2221	0.0663871	3169908	0	0	3169908	4	0.00013659702	3169908	194	0.0036729772	3169908	0	0	3169908
EH_bin.19	33	0.0002756337	2278386	7	0.00014966735	2278386	13151	0.30536133	2278386	2	0.00005354668	2278386	200	0.0041204607	2278386	27	0.00029362892	2278386	225	0.00926972	2278386	156	0.0033493007	2278386	74	0.0004029168	2278386	82	0.0005802353	2278386	90	0.0017766963	2278386	42	0.00043539592	2278386	887	0.0016428296	2278386	25	0.00036253734	2278386	8	0.00013913358	2278386	47	0.0010147535	2278386	2	0.00006759171	2278386	52	0.0012122616	2278386	6	0.00019355807	2278386	10	0.00023130409	2278386	188	0.0005525841	2278386	0	0	2278386	1013	0.009967144	2278386	212	0.001517741	2278386	4	0.00007154187	2278386	50	0.00080671144	2278386	87	0.0018952013	2278386	103	0.0023178689	2278386	190	0.003443227	2278386	2	0.00006583608	2278386	10	0.00014878954	2278386	75	0.0016810145	2278386	610	0.0071954443	2278386	61960	0.7323825	2278386	77	0.0016459019	2278386	21	0.00037746018	2278386	128	0.0009054655	2278386	265	0.0054845843	2278386	461	0.006232482	2278386	147	0.0028840592	2278386	55	0.0012425462	2278386	224	0.0032141174	2278386	844	0.0014023085	2278386	26	0.00029362892	2278386	3199	0.05650886	2278386	80	0.0011310638	2278386	150	0.0022928512	2278386	133	0.00043232358	2278386	236	0.0018517495	2278386	2072	0.0029090769	2278386	2	0.000047401976	2278386	42	0.00049113715	2278386	18	0.00022867064	2278386	183	0.0035911386	2278386	153	0.0025395171	2278386	925	0.002270028	2278386	46	0.0009954415	2278386	5	0.00015186188	2278386	56	0.0010704946	2278386	49	0.0005420504	2278386	13	0.0003555148	2278386	59	0.0002813395	2278386	18	0.00032786367	2278386	9477	0.20389038	2278386	149	0.0019031016	2278386	12	0.0001523008	2278386	943906	0.9995159	2278386	21	0.00040686698	2278386	38	0.00026509995	2278386	11	0.00016941817	2278386	141	0.003101757	2278386	11	0.00018741337	2278386
EH_bin.1	250	0.0041520046	3378609	397	0.0062919385	3378609	2616	0.03862625	3378609	18	0.00032557777	3378609	171046	0.770518	3378609	128	0.0016497914	3378609	168	0.002796417	3378609	263	0.0035609328	3378609	143	0.003178231	3378609	25	0.0004060843	3378609	411	0.006389908	3378609	723	0.010699966	3378609	6479	0.10711095	3378609	1546	0.023223167	3378609	3459	0.07708024	3378609	48	0.0009728856	3378609	171	0.0035339987	3378609	418	0.00840257	3378609	174	0.003401104	3378609	1015	0.016565101	3378609	3048102	0.9287497	3378609	3119	0.048495106	3378609	1277	0.01968532	3378609	877	0.013517397	3378609	4154	0.09258485	3378609	33	0.00061386207	3378609	238	0.0045586806	3378609	20	0.00038536568	3378609	16295	0.2044951	3378609	61	0.001054576	3378609	243	0.0036245685	3378609	560	0.009667884	3378609	10335	0.1432042	3378609	41	0.00075534044	3378609	38	0.0004291707	3378609	188959	0.7761765	3378609	3504	0.051933505	3378609	61966	0.028845599	3378609	1100	0.019750731	3378609	493186	0.8017868	3378609	71	0.0011353785	3378609	26363	0.26288658	3378609	1890	0.02482856	3378609	401	0.007923675	3378609	108	0.0015538939	3378609	77	0.0007204148	3378609	379	0.0025853836	3378609	1543	0.02191464	3378609	8	0.00012963916	3378609	3730	0.04865967	3378609	5284	0.12265817	3378609	1906	0.029763432	3378609	56	0.0010909815	3378609	328	0.004896394	3378609	62	0.0010862459	3378609	492	0.008444304	3378609	22	0.00035221595	3378609	14	0.00022228083	3378609	10	0.00017906778	3378609	58	0.0010421448	3378609	176	0.0029183608	3378609	5603	0.00734977	3378609	13961	0.1834696	3378609	306	0.003839746	3378609	249	0.004279276	3378609	11280	0.011178565	3378609	187122	0.92377335	3378609	161462	0.9491948	3378609	427	0.008184138	3378609	202	0.004067058	3378609	30	0.0006517475	3378609	80493	0.7851758	3378609
EH_bin.20	21687	0.024676923	3915480	1273	0.015832286	3915480	9590	0.073891066	3915480	110	0.0006111639	3915480	607885	0.9433952	3915480	3432	0.03347329	3915480	634	0.007536496	3915480	1957	0.027080972	3915480	1332	0.019527875	3915480	391	0.0015505123	3915480	3169	0.026958635	3915480	2040	0.024576297	3915480	2055	0.024569402	3915480	4972	0.053937193	3915480	435	0.0033084066	3915480	750	0.011378171	3915480	1258	0.019935997	3915480	3383	0.05055983	3915480	1803	0.029419381	3915480	4166	0.057406243	3915480	8269323	0.9417517	3915480	89955	0.62452877	3915480	7979	0.076634794	3915480	4644	0.04172694	3915480	9487	0.1579247	3915480	2385	0.00893658	3915480	22563	0.352354	3915480	875	0.013355451	3915480	16245	0.18364517	3915480	267	0.0034286983	3915480	916	0.008846936	3915480	15478	0.22147782	3915480	11414	0.021232646	3915480	902	0.011342926	3915480	1955	0.005561004	3915480	54523	0.5817552	3915480	9862	0.111079104	3915480	7516592	0.92301023	3915480	6168	0.08083479	3915480	3826	0.016761418	3915480	939	0.010304484	3915480	1306	0.009749763	3915480	12819	0.05444492	3915480	4992	0.07550083	3915480	67	0.00087268994	3915480	2922	0.0059188143	3915480	6899	0.023838712	3915480	13533	0.054180585	3915480	572	0.0066040433	3915480	22297	0.11085716	3915480	1425	0.021744205	3915480	8224	0.08015645	3915480	596	0.00075852766	3915480	2711	0.032432295	3915480	1215	0.008974379	3915480	6056	0.064629115	3915480	381	0.0039257	3915480	335	0.00083361426	3915480	1733	0.0061570997	3915480	607	0.001693279	3915480	1117	0.01314909	3915480	1132094	0.89767385	3915480	438787	0.9138711	3915480	1611	0.018603593	3915480	2613	0.020802813	3915480	1712410	0.9177817	3915480	169952	0.8258303	3915480	1228407	0.9996251	3915480	4994	0.05694704	3915480	1644	0.024584725	3915480	1176	0.018746872	3915480	111604	0.82094073	3915480
EH_bin.21	29	0.00052272057	3315347	6	0.00011341196	3315347	11305	0.20731826	3315347	2	0.000019304163	3315347	59	0.00092659984	3315347	9	0.00011914288	3315347	610	0.015996516	3315347	59	0.00090548594	3315347	34	0.00079116906	3315347	473	0.007521686	3315347	11	0.00021264743	3315347	2339	0.024308767	3315347	11	0.00015322679	3315347	8	0.00013090635	3315347	6	0.00007148573	3315347	40	0.000832492	3315347	0	0	3315347	43	0.00067836035	3315347	1	0.000045244135	3315347	6	0.00007721665	3315347	22	0.0002913722	3315347	0	0	3315347	161	0.002447406	3315347	31841	0.45785826	3315347	2	0.000020812302	3315347	8	0.000108284294	3315347	27	0.00037763768	3315347	53	0.0014348422	3315347	58	0.0008804508	3315347	4	0.00011009406	3315347	11	0.00013965355	3315347	25	0.00044731365	3315347	186	0.002747827	3315347	4628	0.076173626	3315347	20207	0.24560507	3315347	18	0.00032907567	3315347	1461	0.032403246	3315347	101	0.0015416184	3315347	3523	0.06181193	3315347	51	0.000650309	3315347	23	0.00037130353	3315347	17995	0.19342078	3315347	90	0.00077910395	3315347	2	0.000026241598	3315347	30	0.00021777509	3315347	20	0.00031369267	3315347	29	0.00047868292	3315347	6	0.000063040156	3315347	111	0.0019611823	3315347	177	0.0013428458	3315347	0	0	3315347	6	0.000102854996	3315347	6	0.000113110334	3315347	71	0.0011295952	3315347	116	0.0013956307	3315347	1037	0.00925695	3315347	21	0.00042408833	3315347	0	0	3315347	20	0.00033571146	3315347	6	0.00010164848	3315347	0	0	3315347	7	0.00020902789	3315347	9	0.00014236821	3315347	15975	0.24262981	3315347	22	0.0003351082	3315347	0	0	3315347	437884	0.9886507	3315347	3617	0.09579993	3315347	6	0.00021144091	3315347	0	0	3315347	50	0.0008291741	3315347	0	0	3315347
