,,Table,Tree,,,,,,
GCA_020404485.1,HA_bin.14.fa,ASV_778,ASV_778,ASV_68,,,,,
GCA_900455085.1,PK_bin.31.fa,,ASV_115,,,,,,
GCF_000012385.1,PK_bin.53.fa,ASV_18,ASV_18,ASV_83,ASV3035,,,,
GCF_000013285.1,PK_bin.17.fa,ASV_6907,ASV_33,ASV_6970,,,,,
GCF_000024405.1,EH_bin.31.fa,ASV_124,ASV_5,,,,,,
GCF_000160755.1,PK_bin.41.fa,,ASV_116,ASV_469,ASV_418,,,,
GCF_000172175.1,EH_bin.69.fa,ASV_226,ASV_301,ASV_377,ASV_226,,,,
GCF_000173415.1,HA_bin.13.fa,,ASV_595,ASV_2993,ASV_2794,,,,
GCF_000392875.1,PK_bin.72.fa,ASV_8470,ASV_8470,,,,,,
GCF_000742135.1,PK_bin.52.fa,ASV_4418,ASV_900,ASV_836,ASV_561,ASV_4418,,,
GCF_000820225.1,EH_bin.1.fa,,ASV_3328,ASV_308,,,,,
GCF_001544275.1,PK_bin.73.fa,,ASV_5445,ASV_4242,,,,,
GCF_002849695.1,PK_bin.61.fa,ASV_303,ASV_303,ASV_832,,,,,
GCF_002850605.1,PK_bin.5.fa,ASV_6519,ASV_6519,,,,,,
GCF_003339775.1,EH_bin.5.fa,,ASV_207,ASV_2585,,,,,
GCF_003363015.1,EH_bin.4.fa,ASV_580,ASV_1440,,,,,,
GCF_003610015.1,EH_bin.49.fa,ASV_7680,ASV_148,,,,,,
GCF_003697165.2,PK_bin.8.fa,,ASV_658,ASV_85,,,,,
GCF_003991585.1,PK_bin.29.fa,ASV_122,ASV_6094,,,,,,
GCF_004006635.1,PK_bin.62.fa,ASV_1840,ASV_1840,,,,,,
GCF_004014855.1,PK_bin.46.fa,ASV_157,ASV_173,,,,,,
GCF_011045835.1,PK_bin.68.fa,,ASV_3753,,,,,,
GCF_012277315.1,HA_bin.18.fa,ASV_310,ASV_310,,,,,,
GCF_013460135.1,HA_bin.1.fa,ASV_696,ASV_183,ASV_683,ASV_696,,,,
GCF_014196915.1,PK_bin.47.fa,ASV_86,ASV_86,,,,,,
GCF_016743795.1,PK_bin.12.fa,,ASV_74,ASV_127,ASV_1064,,,,
GCF_018141665.1,PK_bin.51.fa,,ASV_299,ASV_894,,,,,
GCF_018323885.1,PK_bin.11.fa,ASV_93,ASV_9,ASV_5627,,,,,
GCF_019243775.1,PK_bin.64.fa,ASV_3413,ASV_7,ASV_269,ASV_2519,ASV_2149,ASV_211,ASV_2088,ASV_2012
GCF_019511605.1,PK_bin.57.fa,ASV_139,ASV_139,,,,,,
